Nomination_Id,Nomination_Role,Nomination_Nominees,Nomination_Title,Nomination_Result
1,Writer,Zoe Saldana,Moon of Feral Dreams,Leonardo DiCaprio
2,Composer,Taika Waititi,Storm and the Hidden Waves,Mahesh Babu
3,Editor,Michael Fassbender,Rising Voices,Daniel Craig
4,Composer,Russell Crowe,Fields of the Eternal Moon,Russell Crowe
5,Producer,Shonda Rhimes,Winter of Atomic Empire,Shonda Rhimes
6,Designer,Jet Li,Fallen Voices,Jet Li
7,Writer,Ashley Olsen,Silent River,Jude Law
8,Director,Kenji Mizoguchi,Fallen Echoes,Kenji Mizoguchi
9,Writer,Tobey Maguire,Quiet Garden,Tobey Maguire
10,Composer,Elizabeth Olsen,Voices in Crimson Garden,Mads Mikkelsen
11,Editor,Mahershala Ali,Broken Waves,Donnie Yen
12,Writer,Ang Lee,Velvet Echoes,Colin Firth
13,Writer,Wagner Moura,Echoes in Wandering Waves,Wagner Moura
14,VFX Supervisor,Michelle Yeoh,Eternal Dreams,Michelle Yeoh
15,Composer,Chris Evans,Paths of Electric Summer,Chris Evans
16,Actor,Mary-Kate Olsen,Broken Garden,Mary-Kate Olsen
17,Producer,Tom Hardy,Glass Dreams,Tom Hardy
18,Writer,Karen Gillan,City in Fallen Winter,Cobie Smulders
19,Writer,Dev Patel,Birds of the Golden Summer,Dev Patel
20,Composer,Bryan Cranston,Winter of Golden House,Pankaj Tripathi
21,Composer,Gong Yoo,River and the Eternal Moon,Richard Madden
22,Actor,Pedro Pascal,Feral Empire,Benedict Cumberbatch
23,Writer,Monica Bellucci,City in Fallen Winter,Cobie Smulders
24,Composer,Michael Fassbender,Wandering Waves,Toni Collette
25,Composer,Phoebe Waller-Bridge,Fallen House,Phoebe Waller-Bridge
26,Actor,Zhang Ziyi,Dreams from Glass Sun,Park Bo-gum
27,Editor,Lee Byung-hun,Eternal Dreams,Michelle Yeoh
28,Writer,Taron Egerton,River and the Eternal Moon,Richard Madden
29,Writer,Jr NTR,Glass Shadow,Carole Bouquet
30,Cinematographer,Angelina Jolie,Echoes from Atomic Empire,Saif Khan
